[17,54), State-gov, 77516, [HS-Grad,Doctorate], 13, Not Married, Adm-clerical, Not-in-family, *, Male, 2174, 0, 40, United-States
[17,54), Self-emp-not-inc, 83311, [HS-Grad,Doctorate], 13, Married, Exec-managerial, Husband, *, Male, 0, 0, 13, United-States
[17,54), Private, 215646, [HS-Grad,Doctorate], 9, Not Married, Handlers-cleaners, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Private, 234721, [Preschool,12th], 7, Married, Handlers-cleaners, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 338409, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Wife, *, Female, 0, 0, 40, Cuba
[17,54), Private, 284582, [HS-Grad,Doctorate], 14, Married, Exec-managerial, Wife, *, Female, 0, 0, 40, United-States
[17,54), Private, 160187, [Preschool,12th], 5, Married, Other-service, Not-in-family, *, Female, 0, 0, 16, Jamaica
[17,54), Self-emp-not-inc, 209642, [HS-Grad,Doctorate], 9, Married, Exec-managerial, Husband, *, Male, 0, 0, 45, United-States
[17,54), Private, 45781, [HS-Grad,Doctorate], 14, Not Married, Prof-specialty, Not-in-family, *, Female, 14084, 0, 50, United-States
[17,54), Private, 159449, [HS-Grad,Doctorate], 13, Married, Exec-managerial, Husband, *, Male, 5178, 0, 40, United-States
[17,54), Private, 280464, [HS-Grad,Doctorate], 10, Married, Exec-managerial, Husband, *, Male, 0, 0, 80, United-States
[17,54), State-gov, 141297, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, India
[17,54), Private, 122272, [HS-Grad,Doctorate], 13, Not Married, Adm-clerical, Own-child, *, Female, 0, 0, 30, United-States
[17,54), Private, 205019, [HS-Grad,Doctorate], 12, Not Married, Sales, Not-in-family, *, Male, 0, 0, 50, United-States
[17,54), Private, 121772, [HS-Grad,Doctorate], 11, Married, Craft-repair, Husband, *, Male, 0, 0, 40, ?
[17,54), Private, 245487, [Preschool,12th], 4, Married, Transport-moving, Husband, *, Male, 0, 0, 45, Mexico
[17,54), Self-emp-not-inc, 176756, [HS-Grad,Doctorate], 9, Not Married, Farming-fishing, Own-child, *, Male, 0, 0, 35, United-States
[17,54), Private, 186824, [HS-Grad,Doctorate], 9, Not Married, Machine-op-inspct, Unmarried, *, Male, 0, 0, 40, United-States
[17,54), Private, 28887, [Preschool,12th], 7, Married, Sales, Husband, *, Male, 0, 0, 50, United-States
[17,54), Self-emp-not-inc, 292175, [HS-Grad,Doctorate], 14, Not Married, Exec-managerial, Unmarried, *, Female, 0, 0, 45, United-States
[17,54), Private, 193524, [HS-Grad,Doctorate], 16, Married, Prof-specialty, Husband, *, Male, 0, 0, 60, United-States
[54,90], Private, 302146, [HS-Grad,Doctorate], 9, Not Married, Other-service, Unmarried, *, Female, 0, 0, 20, United-States
[17,54), Federal-gov, 76845, [Preschool,12th], 5, Married, Farming-fishing, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 117037, [Preschool,12th], 7, Married, Transport-moving, Husband, *, Male, 0, 2042, 40, United-States
[54,90], Private, 109015, [HS-Grad,Doctorate], 9, Not Married, Tech-support, Unmarried, *, Female, 0, 0, 40, United-States
[54,90], Local-gov, 216851, [HS-Grad,Doctorate], 13, Married, Tech-support, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 168294, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Own-child, *, Male, 0, 0, 40, United-States
[54,90], ?, 180211, [HS-Grad,Doctorate], 10, Married, ?, Husband, *, Male, 0, 0, 60, South
[17,54), Private, 367260, [HS-Grad,Doctorate], 9, Not Married, Exec-managerial, Not-in-family, *, Male, 0, 0, 80, United-States
[17,54), Private, 193366, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[17,54), Local-gov, 190709, [HS-Grad,Doctorate], 12, Not Married, Protective-serv, Not-in-family, *, Male, 0, 0, 52, United-States
[17,54), Private, 266015, [HS-Grad,Doctorate], 10, Not Married, Sales, Own-child, *, Male, 0, 0, 44, United-States
[17,54), Private, 386940, [HS-Grad,Doctorate], 13, Not Married, Exec-managerial, Own-child, *, Male, 0, 1408, 40, United-States
[17,54), Federal-gov, 59951, [HS-Grad,Doctorate], 10, Married, Adm-clerical, Own-child, *, Male, 0, 0, 40, United-States
[17,54), State-gov, 311512, [HS-Grad,Doctorate], 10, Married, Other-service, Husband, *, Male, 0, 0, 15, United-States
[17,54), Private, 242406, [Preschool,12th], 7, Not Married, Machine-op-inspct, Unmarried, *, Male, 0, 0, 40, Puerto-Rico
[17,54), Private, 197200, [HS-Grad,Doctorate], 10, Not Married, Machine-op-inspct, Own-child, *, Male, 0, 0, 40, United-States
[17,54), Private, 544091, [HS-Grad,Doctorate], 9, Married, Adm-clerical, Wife, *, Female, 0, 0, 25, United-States
[17,54), Private, 84154, [HS-Grad,Doctorate], 10, Married, Sales, Husband, *, Male, 0, 0, 38, ?
[17,54), Self-emp-not-inc, 265477, [HS-Grad,Doctorate], 12, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 507875, [Preschool,12th], 5, Married, Machine-op-inspct, Husband, *, Male, 0, 0, 43, United-States
